Freq.	V(v0)
1.78698119644889e+01	(1.06616789717184e+01dB,-1.24908146104651e+01°)
1.79110061354744e+01	(1.06608012811678e+01dB,-1.25187899798707e+01°)
1.79522952688314e+01	(1.06599197175186e+01dB,-1.25468243632561e+01°)
1.79936795834708e+01	(1.06590342644687e+01dB,-1.25749178609403e+01°)
1.80351592988081e+01	(1.06581449056544e+01dB,-1.26030705732511e+01°)
1.80767346347647e+01	(1.06572516246503e+01dB,-1.26312826005226e+01°)
1.81184058117689e+01	(1.06563544049689e+01dB,-1.26595540430949e+01°)
1.81601730507570e+01	(1.06554532300606e+01dB,-1.26878850013123e+01°)
1.82020365731749e+01	(1.06545480833135e+01dB,-1.27162755755221e+01°)
1.82439966009787e+01	(1.06536389480532e+01dB,-1.27447258660733e+01°)
1.82860533566363e+01	(1.06527258075425e+01dB,-1.27732359733156e+01°)
1.83282070631285e+01	(1.06518086449817e+01dB,-1.28018059975975e+01°)
1.83704579439501e+01	(1.06508874435077e+01dB,-1.28304360392653e+01°)
1.84128062231109e+01	(1.06499621861945e+01dB,-1.28591261986620e+01°)
1.84552521251374e+01	(1.06490328560526e+01dB,-1.28878765761253e+01°)
1.84977958750735e+01	(1.06480994360291e+01dB,-1.29166872719869e+01°)
1.85404376984820e+01	(1.06471619090073e+01dB,-1.29455583865708e+01°)
1.85831778214454e+01	(1.06462202578067e+01dB,-1.29744900201919e+01°)
1.86260164705678e+01	(1.06452744651828e+01dB,-1.30034822731548e+01°)
1.86689538729754e+01	(1.06443245138269e+01dB,-1.30325352457524e+01°)
1.87119902563179e+01	(1.06433703863658e+01dB,-1.30616490382640e+01°)
1.87551258487700e+01	(1.06424120653620e+01dB,-1.30908237509548e+01°)
1.87983608790324e+01	(1.06414495333131e+01dB,-1.31200594840735e+01°)
1.88416955763329e+01	(1.06404827726520e+01dB,-1.31493563378517e+01°)
1.88851301704276e+01	(1.06395117657464e+01dB,-1.31787144125018e+01°)
1.89286648916026e+01	(1.06385364948988e+01dB,-1.32081338082159e+01°)
1.89722999706745e+01	(1.06375569423466e+01dB,-1.32376146251642e+01°)
1.90160356389922e+01	(1.06365730902612e+01dB,-1.32671569634939e+01°)
1.90598721284379e+01	(1.06355849207487e+01dB,-1.32967609233270e+01°)
1.91038096714283e+01	(1.06345924158492e+01dB,-1.33264266047594e+01°)
1.91478485009158e+01	(1.06335955575365e+01dB,-1.33561541078591e+01°)
1.91919888503900e+01	(1.06325943277187e+01dB,-1.33859435326650e+01°)
1.92362309538786e+01	(1.06315887082370e+01dB,-1.34157949791850e+01°)
1.92805750459487e+01	(1.06305786808664e+01dB,-1.34457085473945e+01°)
1.93250213617084e+01	(1.06295642273151e+01dB,-1.34756843372354e+01°)
1.93695701368077e+01	(1.06285453292244e+01dB,-1.35057224486137e+01°)
1.94142216074396e+01	(1.06275219681686e+01dB,-1.35358229813986e+01°)
1.94589760103418e+01	(1.06264941256547e+01dB,-1.35659860354206e+01°)
1.95038335827978e+01	(1.06254617831224e+01dB,-1.35962117104701e+01°)
1.95487945626379e+01	(1.06244249219440e+01dB,-1.36265001062957e+01°)
1.95938591882407e+01	(1.06233835234239e+01dB,-1.36568513226026e+01°)
1.96390276985344e+01	(1.06223375687988e+01dB,-1.36872654590509e+01°)
1.96843003329980e+01	(1.06212870392372e+01dB,-1.37177426152541e+01°)
1.97296773316625e+01	(1.06202319158396e+01dB,-1.37482828907776e+01°)
1.97751589351121e+01	(1.06191721796380e+01dB,-1.37788863851367e+01°)
1.98207453844858e+01	(1.06181078115961e+01dB,-1.38095531977952e+01°)
1.98664369214785e+01	(1.06170387926088e+01dB,-1.38402834281636e+01°)
1.99122337883421e+01	(1.06159651035021e+01dB,-1.38710771755975e+01°)
1.99581362278870e+01	(1.06148867250331e+01dB,-1.39019345393960e+01°)
2.00041444834834e+01	(1.06138036378898e+01dB,-1.39328556187998e+01°)
2.00502587990626e+01	(1.06127158226909e+01dB,-1.39638405129895e+01°)
2.00964794191179e+01	(1.06116232599854e+01dB,-1.39948893210841e+01°)
2.01428065887066e+01	(1.06105259302529e+01dB,-1.40260021421390e+01°)
2.01892405534506e+01	(1.06094238139032e+01dB,-1.40571790751446e+01°)
2.02357815595383e+01	(1.06083168912761e+01dB,-1.40884202190241e+01°)
2.02824298537254e+01	(1.06072051426413e+01dB,-1.41197256726320e+01°)
2.03291856833366e+01	(1.06060885481984e+01dB,-1.41510955347525e+01°)
2.03760492962665e+01	(1.06049670880763e+01dB,-1.41825299040971e+01°)
2.04230209409814e+01	(1.06038407423335e+01dB,-1.42140288793038e+01°)
2.04701008665203e+01	(1.06027094909578e+01dB,-1.42455925589341e+01°)
2.05172893224962e+01	(1.06015733138661e+01dB,-1.42772210414721e+01°)
2.05645865590977e+01	(1.06004321909043e+01dB,-1.43089144253224e+01°)
2.06119928270900e+01	(1.05992861018470e+01dB,-1.43406728088080e+01°)
2.06595083778164e+01	(1.05981350263975e+01dB,-1.43724962901688e+01°)
2.07071334631997e+01	(1.05969789441878e+01dB,-1.44043849675597e+01°)
2.07548683357432e+01	(1.05958178347781e+01dB,-1.44363389390483e+01°)
2.08027132485325e+01	(1.05946516776567e+01dB,-1.44683583026137e+01°)
2.08506684552367e+01	(1.05934804522401e+01dB,-1.45004431561439e+01°)
2.08987342101093e+01	(1.05923041378728e+01dB,-1.45325935974346e+01°)
2.09469107679904e+01	(1.05911227138269e+01dB,-1.45648097241865e+01°)
2.09951983843071e+01	(1.05899361593022e+01dB,-1.45970916340043e+01°)
2.10435973150757e+01	(1.05887444534258e+01dB,-1.46294394243937e+01°)
2.10921078169024e+01	(1.05875475752524e+01dB,-1.46618531927604e+01°)
2.11407301469851e+01	(1.05863455037636e+01dB,-1.46943330364076e+01°)
2.11894645631145e+01	(1.05851382178682e+01dB,-1.47268790525339e+01°)
2.12383113236757e+01	(1.05839256964018e+01dB,-1.47594913382321e+01°)
2.12872706876493e+01	(1.05827079181268e+01dB,-1.47921699904862e+01°)
2.13363429146131e+01	(1.05814848617321e+01dB,-1.48249151061700e+01°)
2.13855282647429e+01	(1.05802565058332e+01dB,-1.48577267820450e+01°)
2.14348269988148e+01	(1.05790228289717e+01dB,-1.48906051147583e+01°)
2.14842393782057e+01	(1.05777838096155e+01dB,-1.49235502008405e+01°)
2.15337656648950e+01	(1.05765394261585e+01dB,-1.49565621367037e+01°)
2.15834061214663e+01	(1.05752896569206e+01dB,-1.49896410186395e+01°)
2.16331610111083e+01	(1.05740344801473e+01dB,-1.50227869428168e+01°)
2.16830305976164e+01	(1.05727738740097e+01dB,-1.50560000052798e+01°)
2.17330151453943e+01	(1.05715078166044e+01dB,-1.50892803019459e+01°)
2.17831149194551e+01	(1.05702362859535e+01dB,-1.51226279286035e+01°)
2.18333301854226e+01	(1.05689592600040e+01dB,-1.51560429809100e+01°)
2.18836612095334e+01	(1.05676767166283e+01dB,-1.51895255543894e+01°)
2.19341082586375e+01	(1.05663886336234e+01dB,-1.52230757444306e+01°)
2.19846716002001e+01	(1.05650949887114e+01dB,-1.52566936462848e+01°)
2.20353515023030e+01	(1.05637957595390e+01dB,-1.52903793550635e+01°)
2.20861482336460e+01	(1.05624909236772e+01dB,-1.53241329657366e+01°)
2.21370620635483e+01	(1.05611804586217e+01dB,-1.53579545731296e+01°)
2.21880932619501e+01	(1.05598643417924e+01dB,-1.53918442719218e+01°)
2.22392420994135e+01	(1.05585425505332e+01dB,-1.54258021566441e+01°)
2.22905088471247e+01	(1.05572150621123e+01dB,-1.54598283216767e+01°)
2.23418937768948e+01	(1.05558818537215e+01dB,-1.54939228612466e+01°)
2.23933971611617e+01	(1.05545429024767e+01dB,-1.55280858694259e+01°)
2.24450192729912e+01	(1.05531981854171e+01dB,-1.55623174401289e+01°)
2.24967603860785e+01	(1.05518476795056e+01dB,-1.55966176671102e+01°)
2.25486207747498e+01	(1.05504913616287e+01dB,-1.56309866439626e+01°)
2.26006007139639e+01	(1.05491292085958e+01dB,-1.56654244641142e+01°)
2.26527004793131e+01	(1.05477611971398e+01dB,-1.56999312208265e+01°)
2.27049203470253e+01	(1.05463873039164e+01dB,-1.57345070071922e+01°)
2.27572605939649e+01	(1.05450075055043e+01dB,-1.57691519161323e+01°)
2.28097214976348e+01	(1.05436217784052e+01dB,-1.58038660403944e+01°)
2.28623033361775e+01	(1.05422300990432e+01dB,-1.58386494725499e+01°)
2.29150063883765e+01	(1.05408324437652e+01dB,-1.58735023049919e+01°)
2.29678309336583e+01	(1.05394287888404e+01dB,-1.59084246299325e+01°)
2.30207772520933e+01	(1.05380191104606e+01dB,-1.59434165394006e+01°)
2.30738456243977e+01	(1.05366033847396e+01dB,-1.59784781252396e+01°)
2.31270363319347e+01	(1.05351815877135e+01dB,-1.60136094791047e+01°)
2.31803496567160e+01	(1.05337536953403e+01dB,-1.60488106924608e+01°)
2.32337858814037e+01	(1.05323196835000e+01dB,-1.60840818565796e+01°)
2.32873452893113e+01	(1.05308795279945e+01dB,-1.61194230625377e+01°)
2.33410281644054e+01	(1.05294332045472e+01dB,-1.61548344012135e+01°)
2.33948347913073e+01	(1.05279806888034e+01dB,-1.61903159632853e+01°)
2.34487654552944e+01	(1.05265219563296e+01dB,-1.62258678392285e+01°)
2.35028204423017e+01	(1.05250569826139e+01dB,-1.62614901193132e+01°)
2.35570000389233e+01	(1.05235857430656e+01dB,-1.62971828936013e+01°)
2.36113045324141e+01	(1.05221082130154e+01dB,-1.63329462519448e+01°)
2.36657342106911e+01	(1.05206243677149e+01dB,-1.63687802839823e+01°)
2.37202893623350e+01	(1.05191341823368e+01dB,-1.64046850791371e+01°)
2.37749702765919e+01	(1.05176376319747e+01dB,-1.64406607266144e+01°)
2.38297772433744e+01	(1.05161346916432e+01dB,-1.64767073153988e+01°)
2.38847105532637e+01	(1.05146253362774e+01dB,-1.65128249342516e+01°)
2.39397704975107e+01	(1.05131095407331e+01dB,-1.65490136717081e+01°)
2.39949573680378e+01	(1.05115872797869e+01dB,-1.65852736160753e+01°)
2.40502714574401e+01	(1.05100585281355e+01dB,-1.66216048554290e+01°)
2.41057130589876e+01	(1.05085232603963e+01dB,-1.66580074776114e+01°)
2.41612824666261e+01	(1.05069814511069e+01dB,-1.66944815702281e+01°)
2.42169799749791e+01	(1.05054330747251e+01dB,-1.67310272206458e+01°)
2.42728058793492e+01	(1.05038781056289e+01dB,-1.67676445159894e+01°)
2.43287604757197e+01	(1.05023165181163e+01dB,-1.68043335431392e+01°)
2.43848440607564e+01	(1.05007482864055e+01dB,-1.68410943887287e+01°)
2.44410569318089e+01	(1.04991733846342e+01dB,-1.68779271391413e+01°)
2.44973993869122e+01	(1.04975917868604e+01dB,-1.69148318805078e+01°)
2.45538717247885e+01	(1.04960034670616e+01dB,-1.69518086987039e+01°)
2.46104742448483e+01	(1.04944083991349e+01dB,-1.69888576793469e+01°)
2.46672072471927e+01	(1.04928065568975e+01dB,-1.70259789077937e+01°)
2.47240710326144e+01	(1.04911979140856e+01dB,-1.70631724691371e+01°)
2.47810659025995e+01	(1.04895824443552e+01dB,-1.71004384482039e+01°)
2.48381921593291e+01	(1.04879601212816e+01dB,-1.71377769295516e+01°)
2.48954501056809e+01	(1.04863309183598e+01dB,-1.71751879974656e+01°)
2.49528400452310e+01	(1.04846948090035e+01dB,-1.72126717359565e+01°)
2.50103622822550e+01	(1.04830517665463e+01dB,-1.72502282287572e+01°)
2.50680171217301e+01	(1.04814017642405e+01dB,-1.72878575593202e+01°)
2.51258048693366e+01	(1.04797447752578e+01dB,-1.73255598108146e+01°)
2.51837258314593e+01	(1.04780807726888e+01dB,-1.73633350661232e+01°)
2.52417803151893e+01	(1.04764097295434e+01dB,-1.74011834078397e+01°)
2.52999686283259e+01	(1.04747316187502e+01dB,-1.74391049182656e+01°)
2.53582910793776e+01	(1.04730464131568e+01dB,-1.74770996794079e+01°)
2.54167479775642e+01	(1.04713540855298e+01dB,-1.75151677729752e+01°)
2.54753396328185e+01	(1.04696546085547e+01dB,-1.75533092803758e+01°)
2.55340663557875e+01	(1.04679479548354e+01dB,-1.75915242827139e+01°)
2.55929284578344e+01	(1.04662340968951e+01dB,-1.76298128607873e+01°)
2.56519262510404e+01	(1.04645130071752e+01dB,-1.76681750950839e+01°)
2.57110600482058e+01	(1.04627846580363e+01dB,-1.77066110657792e+01°)
2.57703301628520e+01	(1.04610490217572e+01dB,-1.77451208527328e+01°)
2.58297369092235e+01	(1.04593060705355e+01dB,-1.77837045354859e+01°)
2.58892806022888e+01	(1.04575557764875e+01dB,-1.78223621932580e+01°)
2.59489615577426e+01	(1.04557981116479e+01dB,-1.78610939049440e+01°)
2.60087800920075e+01	(1.04540330479699e+01dB,-1.78998997491109e+01°)
2.60687365222353e+01	(1.04522605573254e+01dB,-1.79387798039951e+01°)
2.61288311663091e+01	(1.04504806115046e+01dB,-1.79777341474991e+01°)
2.61890643428446e+01	(1.04486931822163e+01dB,-1.80167628571887e+01°)
2.62494363711923e+01	(1.04468982410876e+01dB,-1.80558660102894e+01°)
2.63099475714386e+01	(1.04450957596642e+01dB,-1.80950436836838e+01°)
2.63705982644078e+01	(1.04432857094100e+01dB,-1.81342959539085e+01°)
2.64313887716639e+01	(1.04414680617076e+01dB,-1.81736228971504e+01°)
2.64923194155122e+01	(1.04396427878578e+01dB,-1.82130245892443e+01°)
2.65533905190007e+01	(1.04378098590797e+01dB,-1.82525011056694e+01°)
2.66146024059224e+01	(1.04359692465111e+01dB,-1.82920525215459e+01°)
2.66759554008167e+01	(1.04341209212078e+01dB,-1.83316789116325e+01°)
2.67374498289710e+01	(1.04322648541443e+01dB,-1.83713803503224e+01°)
2.67990860164227e+01	(1.04304010162134e+01dB,-1.84111569116410e+01°)
2.68608642899607e+01	(1.04285293782262e+01dB,-1.84510086692419e+01°)
2.69227849771272e+01	(1.04266499109122e+01dB,-1.84909356964042e+01°)
2.69848484062195e+01	(1.04247625849195e+01dB,-1.85309380660290e+01°)
2.70470549062919e+01	(1.04228673708143e+01dB,-1.85710158506363e+01°)
2.71094048071569e+01	(1.04209642390815e+01dB,-1.86111691223620e+01°)
2.71718984393876e+01	(1.04190531601244e+01dB,-1.86513979529540e+01°)
2.72345361343189e+01	(1.04171341042647e+01dB,-1.86917024137695e+01°)
2.72973182240497e+01	(1.04152070417425e+01dB,-1.87320825757716e+01°)
2.73602450414443e+01	(1.04132719427167e+01dB,-1.87725385095258e+01°)
2.74233169201345e+01	(1.04113287772645e+01dB,-1.88130702851970e+01°)
2.74865341945211e+01	(1.04093775153816e+01dB,-1.88536779725460e+01°)
2.75498971997758e+01	(1.04074181269827e+01dB,-1.88943616409261e+01°)
2.76134062718429e+01	(1.04054505819006e+01dB,-1.89351213592802e+01°)
2.76770617474413e+01	(1.04034748498873e+01dB,-1.89759571961367e+01°)
2.77408639640659e+01	(1.04014909006130e+01dB,-1.90168692196071e+01°)
2.78048132599897e+01	(1.03994987036670e+01dB,-1.90578574973819e+01°)
2.78689099742655e+01	(1.03974982285574e+01dB,-1.90989220967274e+01°)
2.79331544467277e+01	(1.03954894447109e+01dB,-1.91400630844825e+01°)
2.79975470179942e+01	(1.03934723214733e+01dB,-1.91812805270553e+01°)
2.80620880294678e+01	(1.03914468281092e+01dB,-1.92225744904193e+01°)
2.81267778233387e+01	(1.03894129338025e+01dB,-1.92639450401105e+01°)
2.81916167425857e+01	(1.03873706076557e+01dB,-1.93053922412237e+01°)
2.82566051309783e+01	(1.03853198186907e+01dB,-1.93469161584092e+01°)
2.83217433330784e+01	(1.03832605358487e+01dB,-1.93885168558691e+01°)
2.83870316942423e+01	(1.03811927279899e+01dB,-1.94301943973543e+01°)
2.84524705606224e+01	(1.03791163638939e+01dB,-1.94719488461604e+01°)
2.85180602791691e+01	(1.03770314122598e+01dB,-1.95137802651250e+01°)
2.85838011976324e+01	(1.03749378417060e+01dB,-1.95556887166234e+01°)
2.86496936645643e+01	(1.03728356207706e+01dB,-1.95976742625659e+01°)
2.87157380293201e+01	(1.03707247179112e+01dB,-1.96397369643935e+01°)
2.87819346420602e+01	(1.03686051015052e+01dB,-1.96818768830753e+01°)
2.88482838537527e+01	(1.03664767398497e+01dB,-1.97240940791041e+01°)
2.89147860161745e+01	(1.03643396011618e+01dB,-1.97663886124933e+01°)
2.89814414819133e+01	(1.03621936535785e+01dB,-1.98087605427734e+01°)
2.90482506043698e+01	(1.03600388651570e+01dB,-1.98512099289885e+01°)
2.91152137377593e+01	(1.03578752038745e+01dB,-1.98937368296923e+01°)
2.91823312371138e+01	(1.03557026376286e+01dB,-1.99363413029451e+01°)
2.92496034582835e+01	(1.03535211342372e+01dB,-1.99790234063098e+01°)
2.93170307579390e+01	(1.03513306614388e+01dB,-2.00217831968485e+01°)
2.93846134935731e+01	(1.03491311868924e+01dB,-2.00646207311191e+01°)
2.94523520235029e+01	(1.03469226781777e+01dB,-2.01075360651713e+01°)
2.95202467068712e+01	(1.03447051027953e+01dB,-2.01505292545431e+01°)
2.95882979036488e+01	(1.03424784281668e+01dB,-2.01936003542575e+01°)
2.96565059746366e+01	(1.03402426216348e+01dB,-2.02367494188184e+01°)
2.97248712814668e+01	(1.03379976504631e+01dB,-2.02799765022075e+01°)
2.97933941866055e+01	(1.03357434818369e+01dB,-2.03232816578799e+01°)
2.98620750533543e+01	(1.03334800828627e+01dB,-2.03666649387614e+01°)
2.99309142458524e+01	(1.03312074205688e+01dB,-2.04101263972441e+01°)
2.99999121290783e+01	(1.03289254619053e+01dB,-2.04536660851829e+01°)
3.00690690688519e+01	(1.03266341737440e+01dB,-2.04972840538922e+01°)
3.01383854318364e+01	(1.03243335228787e+01dB,-2.05409803541416e+01°)
3.02078615855403e+01	(1.03220234760256e+01dB,-2.05847550361527e+01°)
3.02774978983192e+01	(1.03197039998231e+01dB,-2.06286081495953e+01°)
3.03472947393779e+01	(1.03173750608322e+01dB,-2.06725397435835e+01°)
3.04172524787724e+01	(1.03150366255364e+01dB,-2.07165498666722e+01°)
3.04873714874115e+01	(1.03126886603422e+01dB,-2.07606385668533e+01°)
3.05576521370594e+01	(1.03103311315790e+01dB,-2.08048058915520e+01°)
3.06280948003369e+01	(1.03079640054994e+01dB,-2.08490518876230e+01°)
3.06986998507242e+01	(1.03055872482792e+01dB,-2.08933766013469e+01°)
3.07694676625621e+01	(1.03032008260179e+01dB,-2.09377800784262e+01°)
3.08403986110545e+01	(1.03008047047387e+01dB,-2.09822623639818e+01°)
3.09114930722703e+01	(1.02983988503884e+01dB,-2.10268235025492e+01°)
3.09827514231453e+01	(1.02959832288383e+01dB,-2.10714635380748e+01°)
3.10541740414840e+01	(1.02935578058836e+01dB,-2.11161825139116e+01°)
3.11257613059622e+01	(1.02911225472442e+01dB,-2.11609804728164e+01°)
3.11975135961283e+01	(1.02886774185645e+01dB,-2.12058574569450e+01°)
3.12694312924059e+01	(1.02862223854137e+01dB,-2.12508135078492e+01°)
3.13415147760954e+01	(1.02837574132864e+01dB,-2.12958486664724e+01°)
3.14137644293763e+01	(1.02812824676022e+01dB,-2.13409629731462e+01°)
3.14861806353091e+01	(1.02787975137062e+01dB,-2.13861564675866e+01°)
3.15587637778372e+01	(1.02763025168694e+01dB,-2.14314291888899e+01°)
3.16315142417893e+01	(1.02737974422884e+01dB,-2.14767811755291e+01°)
3.17044324128811e+01	(1.02712822550864e+01dB,-2.15222124653501e+01°)
3.17775186777175e+01	(1.02687569203127e+01dB,-2.15677230955675e+01°)
3.18507734237945e+01	(1.02662214029433e+01dB,-2.16133131027616e+01°)
3.19241970395016e+01	(1.02636756678810e+01dB,-2.16589825228736e+01°)
3.19977899141234e+01	(1.02611196799557e+01dB,-2.17047313912024e+01°)
3.20715524378421e+01	(1.02585534039249e+01dB,-2.17505597424006e+01°)
3.21454850017392e+01	(1.02559768044734e+01dB,-2.17964676104705e+01°)
3.22195879977977e+01	(1.02533898462139e+01dB,-2.18424550287603e+01°)
3.22938618189045e+01	(1.02507924936874e+01dB,-2.18885220299605e+01°)
3.23683068588519e+01	(1.02481847113631e+01dB,-2.19346686460998e+01°)
3.24429235123400e+01	(1.02455664636387e+01dB,-2.19808949085413e+01°)
3.25177121749790e+01	(1.02429377148412e+01dB,-2.20272008479785e+01°)
3.25926732432910e+01	(1.02402984292265e+01dB,-2.20735864944317e+01°)
3.26678071147120e+01	(1.02376485709799e+01dB,-2.21200518772441e+01°)
3.27431141875943e+01	(1.02349881042166e+01dB,-2.21665970250775e+01°)
3.28185948612085e+01	(1.02323169929817e+01dB,-2.22132219659090e+01°)
3.28942495357458e+01	(1.02296352012508e+01dB,-2.22599267270268e+01°)
3.29700786123195e+01	(1.02269426929299e+01dB,-2.23067113350263e+01°)
3.30460824929680e+01	(1.02242394318559e+01dB,-2.23535758158065e+01°)
3.31222615806562e+01	(1.02215253817970e+01dB,-2.24005201945658e+01°)
3.31986162792780e+01	(1.02188005064530e+01dB,-2.24475444957981e+01°)
3.32751469936586e+01	(1.02160647694552e+01dB,-2.24946487432892e+01°)
3.33518541295561e+01	(1.02133181343674e+01dB,-2.25418329601129e+01°)
3.34287380936641e+01	(1.02105605646856e+01dB,-2.25890971686266e+01°)
3.35057992936137e+01	(1.02077920238387e+01dB,-2.26364413904681e+01°)
3.35830381379758e+01	(1.02050124751886e+01dB,-2.26838656465512e+01°)
3.36604550362631e+01	(1.02022218820307e+01dB,-2.27313699570621e+01°)
3.37380503989321e+01	(1.01994202075942e+01dB,-2.27789543414553e+01°)
3.38158246373858e+01	(1.01966074150423e+01dB,-2.28266188184498e+01°)
3.38937781639755e+01	(1.01937834674727e+01dB,-2.28743634060253e+01°)
3.39719113920030e+01	(1.01909483279181e+01dB,-2.29221881214182e+01°)
3.40502247357228e+01	(1.01881019593459e+01dB,-2.29700929811176e+01°)
3.41287186103447e+01	(1.01852443246595e+01dB,-2.30180780008616e+01°)
3.42073934320351e+01	(1.01823753866978e+01dB,-2.30661431956334e+01°)
3.42862496179204e+01	(1.01794951082362e+01dB,-2.31142885796572e+01°)
3.43652875860880e+01	(1.01766034519866e+01dB,-2.31625141663946e+01°)
3.44445077555894e+01	(1.01737003805979e+01dB,-2.32108199685405e+01°)
3.45239105464421e+01	(1.01707858566562e+01dB,-2.32592059980190e+01°)
3.46034963796317e+01	(1.01678598426857e+01dB,-2.33076722659804e+01°)
3.46832656771145e+01	(1.01649223011485e+01dB,-2.33562187827961e+01°)
3.47632188618193e+01	(1.01619731944451e+01dB,-2.34048455580556e+01°)
3.48433563576500e+01	(1.01590124849153e+01dB,-2.34535526005623e+01°)
3.49236785894874e+01	(1.01560401348380e+01dB,-2.35023399183296e+01°)
3.50041859831922e+01	(1.01530561064318e+01dB,-2.35512075185773e+01°)
3.50848789656066e+01	(1.01500603618555e+01dB,-2.36001554077271e+01°)
3.51657579645566e+01	(1.01470528632086e+01dB,-2.36491835913994e+01°)
3.52468234088547e+01	(1.01440335725313e+01dB,-2.36982920744093e+01°)
3.53280757283018e+01	(1.01410024518054e+01dB,-2.37474808607623e+01°)
3.54095153536896e+01	(1.01379594629547e+01dB,-2.37967499536511e+01°)
3.54911427168029e+01	(1.01349045678448e+01dB,-2.38460993554509e+01°)
3.55729582504218e+01	(1.01318377282845e+01dB,-2.38955290677165e+01°)
3.56549623883242e+01	(1.01287589060254e+01dB,-2.39450390911779e+01°)
3.57371555652879e+01	(1.01256680627630e+01dB,-2.39946294257363e+01°)
3.58195382170928e+01	(1.01225651601366e+01dB,-2.40443000704609e+01°)
3.59021107805236e+01	(1.01194501597302e+01dB,-2.40940510235844e+01°)
3.59848736933719e+01	(1.01163230230726e+01dB,-2.41438822824995e+01°)
3.60678273944382e+01	(1.01131837116382e+01dB,-2.41937938437552e+01°)
3.61509723235350e+01	(1.01100321868473e+01dB,-2.42437857030527e+01°)
3.62343089214883e+01	(1.01068684100665e+01dB,-2.42938578552416e+01°)
3.63178376301405e+01	(1.01036923426092e+01dB,-2.43440102943164e+01°)
3.64015588923525e+01	(1.01005039457365e+01dB,-2.43942430134125e+01°)
